# id	status	depends_on	validate	accept	files	title	notes
# Generated by long-run skill scaffold for run 20260430-102637
1.1	TODO	none	.venv/bin/python -m pytest tests/test_summary_generator.py -q	Book club events with missing metadata return None instead of raising; pytest passes	src/summary_generator.py,tests/test_summary_generator.py	Fix _build_book_prompt to skip missing metadata gracefully	fix: graceful book metadata fallback
1.2	TODO	1.1	.venv/bin/python -m pytest tests/test_summary_generator.py -q	Festival/workshop/gala/tribute titles allowed when other metadata present	src/summary_generator.py,tests/test_summary_generator.py	Scope title-rejection regex narrower	fix: scope title-rejection regex
1.3	TODO	none	test -f tests/Hyperreal_test_data/event_xxx_return_xander_cage_2026.html	Missing Hyperreal fixture file added	tests/Hyperreal_test_data/event_xxx_return_xander_cage_2026.html	Add missing Hyperreal test fixture	fix: add missing Hyperreal fixture
1.4	TODO	1.3	.venv/bin/python scripts/verify_calendar.py --offline	Offline verify exits 0 even when Weekend window has zero events	scripts/verify_calendar.py	Make Weekend check fail-tolerant in verify_calendar	fix: weekend check tolerance
1.5	TODO	none	true	Decision documented in CHANGELOG run-block	.github/workflows/claude-code-review.yml,CHANGELOG.md	Triage claude-code-review action keep or remove	docs: claude-code-review triage [persona-gate]
2.1	TODO	none	grep -q '"type": "dance"' src/scrapers/ballet_austin_scraper.py	Ballet Austin scraper tags events with type=dance not concert	src/scrapers/ballet_austin_scraper.py	Ballet scraper type concert to dance	fix: ballet event type
2.2	TODO	2.1	.venv/bin/python -m pytest tests/test_processor.py -q	_get_dance_rating method exists and is invoked for type=dance events	src/processor.py,tests/test_processor.py	Add _get_dance_rating handler with dance-specific Perplexity prompt	feat: dance rating handler
2.3	TODO	2.1	.venv/bin/python -m pytest tests/test_summary_generator.py -q	_build_dance_prompt method exists and reads program/series fields	src/summary_generator.py,tests/test_summary_generator.py	Add _build_dance_prompt to summary_generator	feat: dance summary prompt
2.4	TODO	2.2,2.3	.venv/bin/python -m pytest tests/test_ballet_dance_review.py -q	End-to-end ballet review test suite passes	tests/test_ballet_dance_review.py	Ballet dance review end-to-end test suite	test: ballet dance review
2.5	TODO	2.4	test -s docs/data.json	Cached ballet entries refreshed; data.json non-empty with dance category	docs/data.json,cache	Force-reprocess cached ballet entries	[no-council] chore: ballet refresh
3.1a	TODO	none	.venv/bin/python -m pytest tests/test_refresh_classical_data.py -q	Schema validator unit tests pass; --dry-run flag works against stub	scripts/refresh_classical_data.py,tests/test_refresh_classical_data.py	refresh_classical_data.py skeleton plus schema validator	feat: classical refresh skeleton
3.1b	TODO	3.1a	.venv/bin/python scripts/refresh_classical_data.py --dry-run --venue austinSymphony	Dry-run produces valid JSON for at least one venue via Perplexity	scripts/refresh_classical_data.py,config/master_config.yaml	Wire Perplexity LLM crawler into refresh script	feat: classical refresh crawler
3.2	TODO	3.1b	.venv/bin/python -c 'import yaml; yaml.safe_load(open(".github/workflows/refresh-classical-data.yml"))'	Workflow YAML parses; cron expression valid; opens PR not auto-merge	.github/workflows/refresh-classical-data.yml	refresh-classical-data.yml monthly workflow	feat: classical refresh workflow
3.3	TODO	3.1b	.venv/bin/python -m pytest tests/test_refresh_classical_data.py -q	Refresh ran end-to-end locally; classical_data.json updated reasonably	scripts/refresh_classical_data.py,docs/classical_data.json,docs/ballet_data.json	Run refresh script once locally end-to-end	[no-council] chore: classical refresh run
3.4	TODO	3.2,3.3	grep -q 'Classical refresh' CLAUDE.md	CLAUDE.md and README.md document classical refresh section	CLAUDE.md,README.md	Document classical refresh pipeline	docs: classical refresh documentation
4.1	TODO	none	.venv/bin/python -c 'import os; assert os.path.isdir("personas/live-site") and os.path.isfile("config/feature-inventory.json")'	6 personas migrated to personas/live-site; feature-inventory at config/; scripts updated	personas/live-site,scripts/persona_critique.py,scripts/require_persona_approval.py,scripts/check_live_site.py,config/feature-inventory.json	Migrate personas and feature-inventory out of .overnight	refactor: persona path migration
4.2	TODO	4.1	.venv/bin/python -c 'import json; json.load(open("personas/code-review/review-quality.json"))'	review-quality.json parses; conforms to long-run review schema	personas/code-review/review-quality.json	Author review-quality code-review reviewer JSON	feat: review-quality reviewer
4.3	TODO	4.1	.venv/bin/python -c 'import json; json.load(open("personas/code-review/repo-minimalism.json"))'	repo-minimalism.json parses; references nanochat aesthetic	personas/code-review/repo-minimalism.json	Author repo-minimalism code-review reviewer JSON	feat: repo-minimalism reviewer
4.4	TODO	4.3	bash -n .githooks/pre-push	pre-push hook syntax-clean; invokes minimalism reviewer on every commit	.githooks/pre-push	Wire repo-minimalism reviewer into pre-push hook	feat: minimalism gate [persona-gate]
4.5	TODO	4.2	.venv/bin/python scripts/review_quality_check.py --help	review_quality_check.py --help exits 0 and prints usage	scripts/review_quality_check.py	Add review_quality_check.py manual command	feat: review_quality_check command
4.6	TODO	4.4,4.5	test -f personas/README.md	personas/README.md exists; CLAUDE.md updated; 2 feature-inventory entries appended	personas/README.md,CLAUDE.md,config/feature-inventory.json	Document new reviewers in README and CLAUDE.md	docs: persona reviewer documentation
5.1	TODO	none	test -f docs/TYPOGRAPHY.md	TYPOGRAPHY.md exists with chosen pair plus rationale plus rejected alternatives	docs/TYPOGRAPHY.md	Typography decision document	docs: typography decision record
5.2	TODO	5.1	grep -q 'fonts.googleapis.com' docs/index.html	Web fonts loaded with preconnect and font-display swap; CSS vars updated	docs/index.html,docs/styles.css	Load NYT-inspired web fonts in index.html	feat: load web fonts
5.3	TODO	5.2	grep -qE '\-\-text-(xs|sm|base|md|lg|xl)' docs/styles.css	Type scale variables --text-* defined in styles.css root block	docs/styles.css	Define typographic scale CSS variables	feat: type scale variables
5.4	TODO	5.3	grep -q 'var(--text-base)' docs/styles.css	Body and headings reference scale variables not bare px values	docs/styles.css	Apply type scale variables to body and headings	feat: apply type scale
5.5	TODO	5.4	grep -q 'clamp(' docs/styles.css	Mobile breakpoints reviewed; clamp() used for fluid typography where appropriate	docs/styles.css	Mobile typography pass with clamp()	feat: mobile typography
5.6	TODO	5.5	.venv/bin/python -m pytest tests/test_check_live_site.py -q	Live-site persona council passes 6/6; feature-inventory entries appended	docs/styles.css,config/feature-inventory.json	Persona-gate typography commit with feature inventory	feat: typography persona gate [persona-gate]
6.1	TODO	none	.venv/bin/python -c 'import glob; assert not glob.glob("*.log"), "log files at root"'	No *.log files at root; STATUS-*.md moved to archive/runs; .gitignore updated	.gitignore,archive/runs	Root cleanup logs and STATUS files	chore: root file cleanup
6.2	TODO	none	.venv/bin/python -c 'assert sum(1 for _ in open("CLAUDE.md")) < 250'	CLAUDE.md under 250 lines; archive/CLAUDE-runs.md holds historical runs	CLAUDE.md,archive/CLAUDE-runs.md	Trim CLAUDE.md to under 250 lines	docs: trim CLAUDE.md
6.3	TODO	none	.venv/bin/python -c 'assert sum(1 for _ in open("CHANGELOG.md")) < 800'	CHANGELOG.md under 800 lines; archive/CHANGELOG-history.md holds older entries	CHANGELOG.md,archive/CHANGELOG-history.md	Trim CHANGELOG.md to under 800 lines	docs: trim CHANGELOG
6.4	TODO	4.1	.venv/bin/python -c 'import os; assert not os.path.isdir(".overnight"), ".overnight still exists"'	.overnight directory removed; .gitignore patterns prevent return	.gitignore,.overnight	Remove .overnight directory after migration	chore: remove overnight [persona-gate]
6.5	TODO	none	.venv/bin/python -c 'import glob, os; dirs=[d for d in glob.glob(".long-run/2026*") if os.path.isdir(d)]; assert len(dirs) <= 1, dirs'	Only the active run directory remains under .long-run	.gitignore,.long-run	Cleanup historical .long-run session directories	chore: long-run session cleanup
6.6a	TODO	2.1	.venv/bin/python -m pytest tests/test_static_json_scraper.py -q	_static_json_scraper.py base class exists; per-event type from venue config not hardcoded	src/scrapers/_static_json_scraper.py,tests/test_static_json_scraper.py	Static JSON scraper base class with per-venue type	refactor: scraper base class
6.6b	TODO	6.6a,2.4	.venv/bin/python -m pytest tests/ -q	5 venues migrated to base; ballet preserves type=dance; all scraper tests green	src/scrapers,src/scraper.py,config/master_config.yaml	Migrate 5 classical-music venues to scraper base	refactor: classical scraper migration
6.7	TODO	none	.venv/bin/python -m pytest -q	Pytest still green after conservative deletion of zero-reference scripts	scripts	Audit and remove unused scripts	chore: scripts directory audit
7.1	TODO	1.5,2.5,3.4,4.6,5.6,6.7	.venv/bin/python -m pytest -q	Full validation suite green: pytest, verify_calendar, persona council, refresh dry-run, review-quality, dispatched workflows	docs/data.json	Final gate full validation suite	chore: final gate
7.2	TODO	7.1	test -f STATUS-20260430-102637.md	Run handoff file written with scorecard and cleanup commands	STATUS-20260430-102637.md	Run handoff status document	docs: run handoff
7.3	TODO	7.2	true	Loop wrap-up complete	.long-run	Run wrap-up	[no-council] chore: wrap-up
